Country,Date,Value,Daylight,Temperature,GHI,DNI
Australia,2023-03-01,4055.6634,734.69403,26.20416,894897.94,693884.56
Australia,2023-02-01,4466.4801,778.2237,27.318323,997130.1,756902.75
Australia,2023-01-01,4967.0119,812.18915,27.12854,1009778.6,739408.44
Australia,2022-12-01,5179.1465,822.6204,26.521873,1087540.6,817223.8
Australia,2022-11-01,4548.5315,801.6532,23.7848,1055200.0,791037.1
Australia,2022-10-01,3743.253,761.66504,22.402058,940640.4,700759.25
Australia,2022-09-01,3284.6243,716.4961,19.694122,829021.94,618462.1
Australia,2022-08-01,2795.6241,674.0531,16.63146,697857.1,526799.1
Australia,2022-07-01,2270.5421,642.2917,14.095562,581980.25,434738.47
Australia,2022-06-01,1973.1225,633.63513,15.543318,525155.3,379309.7
Australia,2022-05-01,2113.2315,652.2021,18.893305,576300.4,424286.34
Australia,2022-04-01,2642.1752,689.3627,23.362997,735251.56,564101.25
Australia,2022-03-01,3362.6965,734.32874,26.647915,909088.4,704895.2
Australia,2022-02-01,3628.9706,777.8872,27.038109,1025417.4,791554.8
Australia,2022-01-01,4134.8514,811.984,28.35483,1033363.75,765359.56
Australia,2021-12-01,4401.2416,822.667,27.895231,1153945.1,902050.25
Australia,2021-11-01,3337.9144,801.91455,24.204945,1032470.75,767961.1
Australia,2021-10-01,3537.4364,762.014,23.30585,1022083.8,799807.5
Australia,2021-09-01,3010.1989,716.85144,20.13055,893814.1,699264.25
Australia,2021-08-01,2471.103,674.36005,17.326385,718351.1,551418.4
Australia,2021-07-01,1802.5532,642.46576,15.923379,571096.94,422897.9
Australia,2021-06-01,1555.2231,633.5958,15.272861,520512.62,375375.75
Australia,2021-05-01,1926.5601,651.9686,18.507347,630407.75,482013.28
Australia,2021-04-01,2293.9608,689.027,22.205286,787971.4,628316.6
Australia,2021-03-01,2641.762,733.96277,25.225914,863584.25,648196.25
Australia,2021-02-01,2777.2427,777.5493,26.409632,952028.2,699810.2
Australia,2021-01-01,3250.8873,811.77625,27.552252,1054509.1,784853.06
Australia,2020-12-01,3526.8704,822.71075,26.514647,1025230.0,743181.25
Australia,2020-11-01,3339.9187,802.1746,27.496868,1133187.9,888866.4
Australia,2020-10-01,2361.0566,762.3632,23.410889,1014345.56,790613.4
Australia,2020-09-01,2070.6604,717.20776,21.666039,880846.8,683558.75
Australia,2020-08-01,1756.4586,674.6687,17.323368,711087.8,542598.56
Australia,2020-07-01,1385.2464,642.6421,15.217743,597479.06,450089.25
Australia,2020-06-01,1233.7745,633.5588,16.139555,562890.75,427680.62
Australia,2020-05-01,1425.2808,651.7362,17.49746,614777.0,465708.47
Australia,2020-04-01,1632.0286,688.69104,23.502846,757002.1,581385.75
Australia,2020-03-01,1931.9116,733.596,25.825872,889659.75,681082.56
Australia,2020-02-01,1834.7822,777.8825,27.747059,989177.56,747592.4
Australia,2020-01-01,2099.6973,812.40924,28.550821,1055100.4,793271.06
Australia,2019-12-01,2415.9202,822.5535,30.103205,1200403.0,959397.06
Australia,2019-11-01,2176.9039,801.3466,26.2247,1178109.8,943807.5
Australia,2019-10-01,1962.5215,761.26373,24.818813,1073198.8,861137.94
Australia,2019-09-01,1716.7031,716.09143,20.542143,926312.44,738934.6
Australia,2019-08-01,1471.6138,673.70825,16.263567,730915.25,567598.8
Australia,2019-07-01,1151.3218,642.10455,15.836122,586785.4,439900.25
Australia,2019-06-01,944.1228,633.6947,15.36941,552147.6,414959.78
Australia,2019-05-01,1044.3441,652.47943,18.602314,632967.06,489871.16
Australia,2019-04-01,1248.7702,689.7491,23.309282,768330.8,594229.4
Australia,2019-03-01,1393.6882,734.7415,27.146519,888071.9,675921.06
Australia,2019-02-01,1433.2981,778.2607,28.450134,1070032.0,850251.4
Australia,2019-01-01,1670.8628,812.204,30.208422,1117145.0,870433.9
Australia,2018-12-01,1653.8851,822.6019,28.892082,1156807.2,904705.8
Australia,2018-11-01,1522.9941,801.6105,25.820953,1089537.4,835255.3
Australia,2018-10-01,1281.256,761.6151,24.333431,1007243.0,781778.2
Australia,2018-09-01,1171.5461,716.449,20.03318,914258.4,725486.4
Australia,2018-08-01,1000.378,674.0167,16.060139,733128.7,570540.9
Australia,2018-07-01,759.1978,642.2783,15.571009,600229.44,458214.6
Australia,2018-06-01,616.2976,633.65314,15.381179,546890.3,409851.06
Australia,2018-05-01,652.729,652.24304,18.328684,646993.9,501397.75
Australia,2018-04-01,751.6364,689.4105,24.362017,792330.9,632569.0
Australia,2018-03-01,873.777,734.3732,26.213108,896327.9,694179.56
Australia,2018-02-01,910.5824,777.9215,27.526731,967923.1,724291.56
Australia,2018-01-01,1082.3071,811.9972,28.547583,1038830.44,771342.44
Australia,2017-12-01,1009.2816,822.64905,27.898272,1123557.9,863877.2
Australia,2017-11-01,896.3268,801.87415,25.841932,1079828.4,820876.5
Australia,2017-10-01,814.5641,761.96716,23.976461,1004906.9,783959.8
Australia,2017-09-01,794.8036,716.8073,20.578495,900147.56,703661.94
Australia,2017-08-01,678.4241,674.326,17.181183,728915.7,564692.9
Australia,2017-07-01,543.2299,642.4531,15.984823,589469.2,444523.47
Australia,2017-06-01,453.0949,633.61255,15.535667,562174.1,423673.2
Australia,2017-05-01,514.815,652.00684,18.77317,640358.2,500348.62
Australia,2017-04-01,617.8798,689.0716,22.084501,768843.6,600395.25
Australia,2017-03-01,701.761,734.0044,26.766115,894933.3,690429.0
Australia,2017-02-01,788.8354,777.5816,27.313126,990039.56,750739.44
Australia,2017-01-01,870.8673,811.7893,27.81217,997922.0,724294.0
Australia,2016-12-01,830.593,822.69507,27.235266,1043847.8,768222.5
Australia,2016-11-01,843.251,802.13776,25.808928,1140880.9,899335.7
Australia,2016-10-01,834.931,762.31964,22.275913,1033948.1,812082.5
Australia,2016-09-01,620.956,717.16614,18.954012,809270.9,596357.75
Australia,2016-08-01,560.78,674.6358,16.499895,682642.6,508513.88
Australia,2016-07-01,426.889,642.62866,15.277987,533903.5,379978.75
Australia,2016-06-01,298.1961,633.5726,16.252562,490555.38,347364.72
Australia,2016-05-01,366.4515,651.7706,19.900476,585671.25,430406.38
Australia,2016-04-01,465.7322,688.73236,24.06406,769063.3,592772.06
Australia,2016-03-01,540.1927,733.6353,26.772402,864792.5,650613.44
Australia,2016-02-01,620.8583,777.91376,28.14181,1059105.5,836019.75
Australia,2016-01-01,658.0886,812.423,27.84766,1048840.1,772705.9
Australia,2015-12-01,532.3385,822.5405,27.764696,1085141.9,813265.94
Australia,2015-11-01,562.4533,801.31335,26.996054,1115045.6,868143.56
Australia,2015-10-01,527.3194,761.2233,25.622028,1035628.1,811182.4
Australia,2015-09-01,396.8218,716.0518,19.675287,915141.75,727086.44
Australia,2015-08-01,346.6305,673.67584,16.71102,702096.75,531606.8
Australia,2015-07-01,271.3434,642.0897,14.84469,562167.8,412057.62
Australia,2015-06-01,241.2286,633.7053,16.416058,537758.0,393667.78
Australia,2015-05-01,296.4391,652.51013,18.081825,616805.6,469356.34
Australia,2015-04-01,376.7453,689.78735,21.35387,736601.9,552815.5
Australia,2015-03-01,436.9749,734.7791,26.148647,914799.94,712095.56
Australia,2015-02-01,502.2237,778.2922,28.882181,1046487.7,814622.4
Australia,2015-01-01,532.3385,812.2205,27.41983,1011262.94,742419.5
Australia,2014-12-01,632.001,822.5936,27.62104,1111969.9,847205.06
Australia,2014-11-01,561.778,801.5816,26.93223,1106713.8,852956.7
Australia,2014-10-01,495.067,761.5775,24.787481,1078009.5,866429.06
