Country,Date,Value,Wind10int,Wind100int
Australia,2023-03-01,2415.8842,3.6897216,5.550105
Australia,2023-02-01,2540.7584,3.9664721,5.909515
Australia,2023-01-01,2614.8241,4.0172462,5.86605
Australia,2022-12-01,2690.1965,4.128255,6.038626
Australia,2022-11-01,2510.9518,4.2137494,6.2093577
Australia,2022-10-01,2585.0371,4.169515,6.2335668
Australia,2022-09-01,2611.7065,4.122793,6.341942
Australia,2022-08-01,3237.8667,4.248461,6.6764235
Australia,2022-07-01,2821.0965,3.9059606,6.2938533
Australia,2022-06-01,2971.0295,3.9211984,6.250472
Australia,2022-05-01,2376.8426,3.7599924,5.910298
Australia,2022-04-01,2225.3763,3.8285491,5.904974
Australia,2022-03-01,2345.7491,3.8466952,5.7700653
Australia,2022-02-01,2354.7428,4.000221,5.955144
Australia,2022-01-01,2542.1037,4.2193036,6.1259155
Australia,2021-12-01,2316.3975,4.098981,5.800054
Australia,2021-11-01,2270.4233,4.12164,6.08362
Australia,2021-10-01,2219.7411,4.147176,6.1921453
Australia,2021-09-01,2456.06,4.4919086,6.851287
Australia,2021-08-01,2543.3373,4.058647,6.385271
Australia,2021-07-01,2840.2358,3.999827,6.4057555
Australia,2021-06-01,2218.7338,3.8854492,6.1889577
Australia,2021-05-01,2100.2659,3.9195986,6.2194757
Australia,2021-04-01,1650.4649,3.782887,5.8761616
Australia,2021-03-01,2041.3946,3.7795384,5.7373614
Australia,2021-02-01,1948.8184,4.009633,5.936805
Australia,2021-01-01,2265.2593,4.2864275,6.225722
Australia,2020-12-01,2367.5981,4.285465,6.2157946
Australia,2020-11-01,2070.4957,4.279731,6.282926
Australia,2020-10-01,2114.3543,4.2602577,6.342584
Australia,2020-09-01,2371.4947,4.284017,6.586222
Australia,2020-08-01,2249.399,3.9964192,6.312648
Australia,2020-07-01,1625.3142,3.9005232,6.2938657
Australia,2020-06-01,1707.773,3.8319526,6.1892357
Australia,2020-05-01,1952.2619,4.0899878,6.453341
Australia,2020-04-01,1598.7827,3.672832,5.635807
Australia,2020-03-01,1728.4059,3.920669,5.9304047
Australia,2020-02-01,1408.2926,4.078556,5.97533
Australia,2020-01-01,1639.9641,4.207999,6.0966463
Australia,2019-12-01,1776.0663,4.0879087,5.995013
Australia,2019-11-01,1893.3505,4.3007793,6.3293796
Australia,2019-10-01,1667.0948,4.2007623,6.330075
Australia,2019-09-01,1685.3386,4.0586586,6.277731
Australia,2019-08-01,1939.7441,4.179296,6.560418
Australia,2019-07-01,1898.067,3.8242805,6.1498485
Australia,2019-06-01,1533.8193,4.209125,6.6988363
Australia,2019-05-01,1689.4928,4.008685,6.309916
Australia,2019-04-01,1459.657,4.0625877,6.2727423
Australia,2019-03-01,1400.3354,3.9507136,5.871947
Australia,2019-02-01,1399.498,4.310101,6.3416967
Australia,2019-01-01,1375.1294,4.29464,6.190748
Australia,2018-12-01,1515.2226,4.3671274,6.3460374
Australia,2018-11-01,1423.1956,4.218612,6.149542
Australia,2018-10-01,1436.5961,3.999857,5.986388
Australia,2018-09-01,1401.8472,4.1498213,6.3869843
Australia,2018-08-01,1862.2726,4.2411685,6.6168833
Australia,2018-07-01,1840.6417,3.8071456,6.10772
Australia,2018-06-01,1191.7025,3.7367508,6.0330076
Australia,2018-05-01,1417.8203,4.388273,6.892384
Australia,2018-04-01,1040.9211,3.6489506,5.6968365
Australia,2018-03-01,1364.1388,4.225774,6.3290186
Australia,2018-02-01,1132.5192,3.9055808,5.758405
Australia,2018-01-01,1219.2294,4.310033,6.248108
Australia,2017-12-01,1206.5689,4.074136,5.903756
Australia,2017-11-01,1039.8983,4.0328064,5.9057093
Australia,2017-10-01,1224.5466,4.1865897,6.2462807
Australia,2017-09-01,1618.6129,4.2340918,6.516286
Australia,2017-08-01,1400.5912,3.9986877,6.3017545
Australia,2017-07-01,1529.1689,3.6859417,5.9193606
Australia,2017-06-01,625.0892,3.8678503,6.23211
Australia,2017-05-01,945.6864,3.6534376,5.8205404
Australia,2017-04-01,839.147,3.8560584,5.9714537
Australia,2017-03-01,1035.6495,3.7035284,5.5763803
Australia,2017-02-01,977.4611,4.0308967,5.9561334
Australia,2017-01-01,1050.3855,3.9898357,5.8263955
Australia,2016-12-01,1074.389,4.18327,6.06614
Australia,2016-11-01,1090.202,4.120851,6.0665174
Australia,2016-10-01,1381.513,4.4796624,6.7227077
Australia,2016-09-01,1003.459,4.1058846,6.282973
Australia,2016-08-01,1151.781,4.0075397,6.2966347
Australia,2016-07-01,1416.11,4.065056,6.428105
Australia,2016-06-01,1276.2959,3.7741625,5.9694695
Australia,2016-05-01,1556.9043,3.7005496,5.814036
Australia,2016-04-01,889.5616,3.807664,5.89302
Australia,2016-03-01,846.8007,3.5564368,5.3008184
Australia,2016-02-01,934.542,3.9417853,5.835402
Australia,2016-01-01,1080.0676,3.7678232,5.4739475
Australia,2015-12-01,1083.3326,4.250609,6.169331
Australia,2015-11-01,962.638,4.0799494,5.9948063
Australia,2015-10-01,1057.0251,4.0621853,6.132369
Australia,2015-09-01,962.1128,4.082193,6.3456545
Australia,2015-08-01,1227.6664,3.887678,6.1388054
Australia,2015-07-01,1360.0811,3.9345481,6.273345
Australia,2015-06-01,882.057,3.8783352,6.2120075
Australia,2015-05-01,1299.181,4.0342994,6.329213
Australia,2015-04-01,874.7301,4.143698,6.328641
Australia,2015-03-01,913.9647,3.9934142,5.9729333
Australia,2015-02-01,800.89,4.0479684,5.9915276
Australia,2015-01-01,1066.5928,4.222923,6.178103
Australia,2014-12-01,901.387,3.930961,5.698908
Australia,2014-11-01,891.187,4.049522,5.93299
Australia,2014-10-01,931.669,4.162236,6.280783
Australia,2014-09-01,939.783,4.0343733,6.263425
Australia,2014-08-01,677.609,4.032336,6.4224195
Australia,2014-07-01,1287.753,3.794766,6.106519
Australia,2014-06-01,1091.0,4.249832,6.722659
Australia,2014-05-01,831.328,3.5292995,5.6057987
Australia,2014-04-01,676.409,3.5687132,5.517228
Australia,2014-03-01,637.322,3.6601663,5.539907
Australia,2014-02-01,707.904,4.3647757,6.4395204
Australia,2014-01-01,837.32,4.482537,6.54917
Australia,2013-12-01,742.142,4.103618,5.9837193
Australia,2013-11-01,693.445,4.199245,6.131154
Australia,2013-10-01,1011.061,4.3643785,6.5283704
Australia,2013-09-01,961.474,4.138057,6.3931503
Australia,2013-08-01,1180.731,3.7803252,5.9839325
Australia,2013-07-01,881.864,4.1390376,6.599368
Australia,2013-06-01,595.417,3.8518436,6.106934
Australia,2013-05-01,843.396,3.9334342,6.1726747
Australia,2013-04-01,582.163,3.561624,5.559884
Australia,2013-03-01,783.985,4.0473223,6.043577
Australia,2013-02-01,598.18,3.9914403,5.883344
Australia,2013-01-01,669.647,4.4444346,6.446172
Australia,2012-12-01,760.075,3.9084914,5.697524
Australia,2012-11-01,594.983,4.0819573,6.015208
Australia,2012-10-01,581.89,4.2292366,6.360448
Australia,2012-09-01,663.923,4.1898503,6.4732456
Australia,2012-08-01,752.073,3.8374646,6.1071177
Australia,2012-07-01,534.268,4.0723557,6.5548472
Australia,2012-06-01,702.918,3.9659793,6.371328
Australia,2012-05-01,537.198,4.01836,6.3721595
Australia,2012-04-01,432.456,3.6926348,5.7316446
Australia,2012-03-01,589.725,4.159361,6.3165736
Australia,2012-02-01,496.331,3.812263,5.6569667
Australia,2012-01-01,743.004,4.1798015,6.0927386
Australia,2011-12-01,539.034,3.9905028,5.8583655
Australia,2011-11-01,532.37,3.9664516,5.8687057
Australia,2011-10-01,537.447,4.111287,6.167976
Australia,2011-09-01,728.209,4.2891445,6.615166
Australia,2011-08-01,509.829,3.7802217,6.0655274
Australia,2011-07-01,621.479,3.8008068,6.13712
Australia,2011-06-01,732.319,3.875775,6.2402544
Australia,2011-05-01,488.339,3.9282193,6.2256436
Australia,2011-04-01,507.972,3.9834363,6.2157497
Australia,2011-03-01,619.066,4.1600285,6.2825913
Australia,2011-02-01,538.337,4.094163,6.03848
Australia,2011-01-01,433.348,3.936248,5.7760463
Australia,2010-12-01,562.097,4.042128,5.947911
Australia,2010-11-01,410.598,4.0485063,6.0227494
Australia,2010-10-01,489.709,4.296008,6.4573383
Australia,2010-09-01,408.351,4.245978,6.4957914
Australia,2010-08-01,574.758,4.142737,6.5004773
Australia,2010-07-01,320.106,4.015547,6.3752522
Australia,2010-06-01,312.625,3.8882868,6.218621
Australia,2010-05-01,296.832,3.7036817,5.8593645
Australia,2010-04-01,350.511,3.6105545,5.598391
Australia,2010-03-01,415.654,4.0725036,6.1538706
Australia,2010-02-01,390.199,4.0360355,5.951721
Australia,2010-01-01,409.469,4.2529488,6.2216067
Canada,2023-03-01,3418.7062,3.4384992,5.3466735
Canada,2023-02-01,3914.9501,3.6478994,5.816089
Canada,2023-01-01,3206.4003,3.4973323,5.614251
Canada,2022-12-01,3759.2633,3.9898555,6.3855658
Canada,2022-11-01,4122.9702,3.9915824,6.2955112
Canada,2022-10-01,3417.7461,4.3167253,6.745157
Canada,2022-09-01,2403.2426,3.8842192,5.984321
Canada,2022-08-01,1997.3639,3.5377898,5.4051666
Canada,2022-07-01,2378.9081,3.3023033,5.031
Canada,2022-06-01,2506.5278,3.492221,5.3470707
Canada,2022-05-01,2888.579,3.8976097,5.955711
Canada,2022-04-01,3351.9337,3.8570657,5.8676825
Canada,2022-03-01,3686.4818,3.914488,6.068445
Canada,2022-02-01,3647.7012,4.083083,6.4974995
Canada,2022-01-01,3850.9621,4.121605,6.6183524
Canada,2021-12-01,3602.2384,3.908742,6.285039
Canada,2021-11-01,3729.2048,3.8496115,6.1341906
Canada,2021-10-01,2781.6782,3.7277772,5.9496346
Canada,2021-09-01,2726.5551,3.794216,5.894771
Canada,2021-08-01,1893.8625,3.689975,5.6596785
Canada,2021-07-01,1854.4572,3.4862454,5.2657695
Canada,2021-06-01,2514.3776,3.6712275,5.6186957
Canada,2021-05-01,2465.9689,3.6985874,5.5603766
Canada,2021-04-01,2834.9202,3.9220076,5.9910235
Canada,2021-03-01,4185.8124,4.182671,6.5625653
Canada,2021-02-01,2972.8521,3.8223176,6.0489583
Canada,2021-01-01,2847.0725,3.4753177,5.619133
Canada,2020-12-01,3964.1463,3.9555218,6.3536944
Canada,2020-11-01,4030.7928,4.0189695,6.442674
Canada,2020-10-01,3042.0362,3.9321902,6.061887
Canada,2020-09-01,2859.5804,3.975057,6.133455
Canada,2020-08-01,2305.3842,3.4783888,5.3287086
Canada,2020-07-01,1851.3228,3.2566576,4.979241
Canada,2020-06-01,2271.8062,3.4544349,5.3222327
Canada,2020-05-01,2760.7782,3.9223619,5.883109
Canada,2020-04-01,3005.6935,4.0841784,6.2322116
Canada,2020-03-01,3334.1994,4.0948334,6.358234
Canada,2020-02-01,3489.2503,3.784057,6.031426
Canada,2020-01-01,2826.3789,3.6952574,5.9253035
Canada,2019-12-01,3545.7752,3.7901917,6.102369
Canada,2019-11-01,3163.863,3.8035903,6.0106606
Canada,2019-10-01,2707.1108,3.9863017,6.230141
Canada,2019-09-01,2216.0788,3.724273,5.730884
Canada,2019-08-01,1740.4929,3.622393,5.554328
Canada,2019-07-01,1777.9228,3.378335,5.13881
Canada,2019-06-01,1838.6632,3.4376516,5.242998
Canada,2019-05-01,2014.0628,3.523426,5.3315735
Canada,2019-04-01,3098.2496,3.890368,5.9125557
Canada,2019-03-01,3452.4306,4.0487123,6.3257265
Canada,2019-02-01,3096.848,3.8064067,6.0180073
Canada,2019-01-01,3681.5025,3.8345153,6.1671185
Canada,2018-12-01,3365.8556,3.7671096,6.107905
Canada,2018-11-01,3393.8681,3.5559483,5.622136
Canada,2018-10-01,2977.2093,3.819928,5.9503655
Canada,2018-09-01,2141.9328,3.9407842,5.956251
Canada,2018-08-01,1790.7244,3.679937,5.5982876
Canada,2018-07-01,1952.5942,3.6177838,5.5260143
Canada,2018-06-01,2232.7662,3.6168807,5.516926
Canada,2018-05-01,2455.5505,3.8743336,5.8154454
Canada,2018-04-01,2771.7513,3.944413,6.025528
Canada,2018-03-01,2785.6002,3.67955,5.6816783
Canada,2018-02-01,3151.4374,4.17891,6.6350417
Canada,2018-01-01,3834.7101,3.7768836,6.059887
Canada,2017-12-01,3324.792,3.7897978,6.0941544
Canada,2017-11-01,3282.482,4.141644,6.5067763
